article,sentence,label
A comparison of algorithms for the.txt,"We present the problem of network alignment, overview the various approaches that have been proposed to solve the problem and evaluate the quality of the alignments produced by a wide range of different alignment algorithms from the first generation of global alignment tools to the most recently published techniques",1
A comparison of algorithms for the.txt,"First and foremost, code and documentation quality must be improved for a tool to see widespread use",1
A comparison of several algorithms for.txt,"Availability: The data we used to compare the algorithms are available on demand, since we think they represent an important benchmark that can be used to easily compare novel algorithmic ideas with the state of the art",1
A comparison of several algorithms for.txt,"Moreover, we had to re-implement six of the algorithms surveyed because the original code was not available to us",1
A comprehensive comparison of association estimators.txt,"The parallel C code runtimes of BS, CS and MM are greater than their serial counterparts",1
A comprehensive SNP and indel imputability.txt,INTRODUCTIONGenotype imputation has proven to be a powerful tool in genome-wide association studies (GWAS) by facilitating fine mapping and the merging of datasets from different genotyping platforms (),0
A computational genomics pipeline for prokaryotic.txt,"Large sequencing centers have traditionally employed or collaborated with teams of software engineers and computational biologists to develop the software and algorithms for sequencing hardware interfaces, enterprise data storage, sequence assembly and finishing, genome feature prediction and annotation, database mining, comparative analysis and database user interface development",0
A computational genomics pipeline for prokaryotic.txt,"While many of the components developed by these teams are now available online under open-access terms, the development of new, high-throughput sequencing technologies has necessitated updates to these tools and development of even more sophisticated algorithms to address the challenges raised by the new data",1
A computational genomics pipeline for prokaryotic.txt,"New and improved tools released for these technologies on a monthly basis include assemblers, mapping algorithms, base calling and error correction tools, and a multitude of other programs",0
A computational method to preclude multistationarity.txt,It provides an additional tool to various other available softwares to address multistationarity ().Most methods are developed in several references or apply to certain specializations,1
A computational model to predict the.txt,"There is, then, an urgent need to develop novel adjuvants to support the development of vaccines against pathogens that have been so far refractory to the traditional vaccination strategies, to address effective vaccines against unmet medical need",0
A computational strategy to adjust for.txt,"To correct for these biases, many software packages have been developed in order to generate an unbiased interaction map ()",0
A computationally efficient modular optimal discovery.txt,"Availability: The mODP methodology has been implemented into EDGE, a comprehensive gene expression analysis software package in R, available at http://genomine.org/edge/.",1
A computationally efficient modular optimal discovery.txt,"The methodology presented in this article has been implemented in the EDGE software package (), freely available at http://genomine.org/edge/.",1
A contextsensitive framework for the analysis.txt,"Using this model, we developed a new approach and a corresponding tool, ContextNet, based on a dynamic programming algorithm for identifying signalling paths linking proteins to their downstream target genes",1
A counting renaissance combining stochastic mapping.txt,"Availability: Renaissance counting is implemented in the development branch of BEAST, freely available at http://code.google.com/p/beast-mcmc/",1
A CROC stronger than ROC measuring.txt,"Python code and command-line utilities implementing CROC curves and metrics are available at http://pypi.python.org/pypi/CROC/",1
A CROC stronger than ROC measuring.txt,"INTRODUCTIONOne of the most widely used tools to assess the performance of a classification or ranking algorithm in statistics and machine learning is the Receiver Operating Characteristic (ROC) curve, plotting true * To whom correspondence should be addressed",0
A crossspecies biclustering approach to identifying.txt,Availability and Implementation: The R package containing the implementation of the proposed method in C þþ is available at: https://github.com/JavonSun/mvbc.git and also at the R platform https://www.r-project.org/,1
A crowdsourcing approach for the construction.txt,"The silver standard is biased by the choice of algorithm used to generate it, and the quality of the write-ups does not always predict the best performing algorithms",0
A de novo metagenomic assembly program.txt,"Availability and implementation: The source code of MAP is distributed as open source under the GNU GPL license, the MAP program and all simulated datasets can be freely available at http://bioinfo.ctb.pku.edu.cn/MAP/",1
A de novo metagenomic assembly program.txt,"illumina.com), SOLiD (http://www.appliedbiosystems.com) and Helicos (http://www.helicosbio.com) are available in metagenomic projects, many efforts have been devoted to develop assembly tools such as SSAKE (), Velvet () and EULER-SR/EULER-USR ()",1
A detailed investigation of accessibilities around.txt,"We have computed the accessibilities with an originally developed software package, called Raccess, which computes the accessibility of all the segments of a fixed length for a given RNA sequence when the maximal distance between base pairs is limited to a fixed size W",1
A detailed investigation of accessibilities around.txt,"Availability: The C++ source code of the Raccess software is available at http://www.ncrna.org/software/Raccess/ The microarray",1
A discriminatory function for prediction of.txt,"Availability: The code and data sets are available for download on http://www.hy8.com/bioinformatics.html",1
A distancebased test of association between.txt,INTRODUCTIONA proliferation in the development and application of highthroughput measurement platforms in biological research has resulted in the increasing availability of multiple levels of molecular data available for the same biological sampling units,1
A DNA shapebased regulatory score improves.txt,"Availability and implementation: The shape-based model is available as an open-source R package at that is archived on the GitHub software repository at https://github.com/ramseylab/ regshape/.",1
A dynamic programming algorithm for identification.txt,Availability: Our implementation of the algorithm is available at http://www.fi.muni.cz/˜lexa/triplex as source code and a web-based search tool,1
A dynamic programming algorithm for identification.txt,The approach is presented in the form of an algorithm based on previously published algorithms for detection of palindromes,1
A dynamic programming algorithm for identification.txt,"We implemented our algorithm as a program written in C, using a reasonable set of parameters based on published data",1
A dynamic waveletbased algorithm for preprocessing.txt,"DISCUSSIONIn this article, we examined the overall proteomic data analysis workflow and demonstrated that our newly proposed dynamic wavelet-based pre-processing algorithm is able to significantly outperform currently available MS/MS pre-processing algorithms by producing more accurate peptide and protein identifications and increasing the spectra SNR",1
A fast algorithm for exact sequence.txt,Implementation of a parallel version of the algorithm will be a topic of further work,1
A fast and automated solution for.txt,"Availability and implementation: The new approach will be used to determine MDAs for UniProt and Ensembl, and made available via the Gene3D website",1
A fast and powerful treebased association.txt,"Leveraging a computationally efficient tree-building algorithm, the procedure has limited requirements for CPU time and memory",1
A fast and powerful treebased association.txt,"For a gene with 20 SNPs in a study of 2000 cases and 2000 controls, it takes 45 s to run the procedure with 10 5 permutation steps on a Linux machine with a 2.8-GHz Xeon CPU",0
A fast and powerful treebased association.txt,We have created an R package implementing the procedure (http://www.hanzhang.name/softwares/treat).,1
A fast and robust statistical test.txt,"An R package named gGranger containing an implementation for both Granger causality identification tests is also provided.",1
A fast and robust statistical test.txt,"An R package named gGranger containing the identification method for Granger causalities, the bootstrap procedure and the LRT with Bartlett correction is provided.):",1
A fast lockfree approach for efficient.txt,"Results: We propose a new k-mer counting algorithm and associated implementation, called Jellyfish, which is fast and memory efficient",1
A fast lockfree approach for efficient.txt,The main application to which we apply our new k-mer counting algorithms here is counting k-mers in sequencing reads from large genome sequencing projects where the length n of the sequence to process is equal to the length g of the genome sequenced times the coverage c of the sequencing project (n = gc),1
A fast mathematical programming procedure for.txt,"In contrast to other point matching algorithms, our algorithm is able to match multiple point sets simultaneously and not only based on their geometrical equivalence, but also based on the similarity of the density in the immediate point neighborhood",1
A fast mathematical programming procedure for.txt,"Availability: The program is available upon request as a Matlab code package.",1
A fast Peptide Match service for.txt,"The recent advance in search engine technology, such as the Apache Lucene TM () information retrieval software library, provides a scalable and high-performance index structure as well as powerful and efficient search algorithms to build a fast search engine for our Peptide Match service",1
A fast Peptide Match service for.txt,The web application is developed in Java Server Pages/Servlets running on Apache Tomcat 6.,1
A folding algorithm for extended RNA.txt,"Availability: All sources (optimization routines, RNA folding, RNA evaluation, extended secondary structure visualization) are published under the GPLv3 and available at www.tbi.univie.ac.at/software/ rnawolf/.",1
A framework for installable external tools.txt,Researchers have developed software tools that perform statistical analysis of the experimental data contained within Skyline documents,1
A framework for installable external tools.txt,Tool developers can now easily share their tools with proteomics researchers using Skyline,1
A framework for installable external tools.txt,Availability and implementation: Skyline is available as a single-click self-updating web installation at http://skyline.maccosslab.org,1
A framework for installable external tools.txt,This combination has motivated researchers and instrument vendors developing software tools with applications in targeted quantitative proteomics to seek seamless integration with Skyline,1
A framework for installable external tools.txt,"Existing tools have been developed outside of Skyline in R, Python and Java or exist as Web sites (R  ost et al., 2012)",1
A framework for oligonucleotide microarray preprocessing.txt,Motivation: The availability of flexible open source software for the analysis of gene expression raw level data has greatly facilitated the development of widely used preprocessing methods for these technologies,1
A framework for oligonucleotide microarray preprocessing.txt,"The package is based on the BioConductor principles of transparency, reproducibility and efficiency of development",1
A framework for oligonucleotide microarray preprocessing.txt,"It extends the existing tools and leverages existing code for visualization, accessing data and widely used preprocessing routines",1
A framework for oligonucleotide microarray preprocessing.txt,The oligo package implements a unified paradigm for preprocessing data and interfaces with other BioConductor tools for downstream analysis,1
A framework for oligonucleotide microarray preprocessing.txt,"Availability: The oligo package is freely available through BioConductor, http://www.bioconductor.org",1
A framework for oligonucleotide microarray preprocessing.txt,INTRODUCTIONOpen source software significantly simplified the development and distribution of preprocessing methods for gene expression microarrays,1
A framework for oligonucleotide microarray preprocessing.txt,"The BioConductor project () is one hub of tools for the analysis of genomic data and distributes, among others, the affy package (), the most used tool for analysis of Affymetrix gene expression arrays",1
A framework for oligonucleotide microarray preprocessing.txt,"Based on the BioConductor principles of transparency, reproducibility and efficiency of development, we developed the oligo package",1
A framework for oligonucleotide microarray preprocessing.txt,"Because it is implemented in R, every feature of this statistical software is at the researcher's disposal",1
A framework for oligonucleotide microarray preprocessing.txt,"Classes used by its companion, the pdInfoBuilder package, are based on a broader class, offering inheritability properties and transparency to the user, who benefits from the fact that annotation packages use SQL databases to minimize their memory footprint",1
A framework for oligonucleotide microarray preprocessing.txt,We show how the package can serve as an interface between the data files and methodologies implemented by other BioConductor packages,1
A general method for accurate estimation.txt,"To let one choose an appropriate multiple-testing procedure in practice, we develop an algorithm by which FDR can be correctly and reliably estimated",1
A general species delimitation method with.txt,Availability and implementation: The code is freely available at www.exelixis-lab.org/software.html,1
A generalized model for multimarker analysis.txt,"The Java implementation is fast and extensible, and includes a graphical user interface",1
A generic methodological framework for studying.txt,"Availability and implementation: Python code and examples are available online (http://cbio.ensmp.fr/aschoenauer/motiw/html)",1
A generic methodological framework for studying.txt,"On the other hand, the computational tools which are necessary to perform such V C The Author 2015",1
A gradientboosting approach for filtering de.txt,"Availability: The software DNMFilter implemented using a combination of Java and R is freely available from the website at",1
A gradientboosting approach for filtering de.txt,These challenges necessitate the development of effective and automated DNM filtering algorithms,0
A gradientboosting approach for filtering de.txt,"For example, Variant Quality Score Recalibration in Genome Analysis Toolkit (GATK) uses a semi-supervised machine-learning algorithm, Gaussian mixture model, to estimate the probability that each variant is a true polymorphism rather than a sequencer, alignment or data processing artifact, by evaluating sequence features extracted from true variants (typically HapMap 3 sites and polymorphic sites on the Omni 2.5M SNP chip array) ()",0
A gradientboosting approach for filtering de.txt,We choose gradient boosting as the classification algorithm for DNMFilter based on recent reports showing that it can achieve better performance than other supervised machine-learning algorithms in many conditions () and our own preliminary comparative analysis (data not shown),0
A gradientboosting approach for filtering de.txt,"In this article, we use gradient-boosting machine as well as stochastic gradient boosting implemented in the R gbm package (http://cran.r-project.org/web/packages/gbm/index.html)",1
A gradientboosting approach for filtering de.txt,We hope that DNMFilter is useful to the community as either a stand-alone tool for detecting DNMs or a filtering strategy combined with other DNM detection tools to boost both sensitivity and specificity.,1
A graph kernel approach for alignmentfree.txt,Availability: The program with the predictive models can be found at http://www.bioinf.uni-freiburg.de/Software/SH3PepInt/SH3PepInt.tar,1
A graphical interface for the FoldX.txt,"Availability and Implementation: The plugin is written in Python and is freely available for download at http://foldxyasara.switchlab.org/ and supported on Linux, MacOSX and MS Windows.",1
A graphical method for reducing and.txt,"Availability: The algorithms described in this article are implemented in the open-source software modeling platform BIOCHAM available at",1
A greedy graphbased algorithm for the.txt,The performance of the algorithm is assessed by comparing the alignment results of homologous genomic segments in Arabidopsis thaliana to those obtained by using both a progressive alignment method and an earlier graph-based implementation,1
A greedy graphbased algorithm for the.txt,Availability: http://bioinformatics.psb.ugent.be/software,1
A greedy graphbased algorithm for the.txt,"INTRODUCTIONIn the past decades, considerable effort has been devoted to the development of algorithms for the alignment of biological sequences at the nucleotide or amino acid level",0
A greedy graphbased algorithm for the.txt,"Therefore, most multiple sequence alignment (MSA) tools are based on progressive alignment, in which N sequences are aligned through N 1 applications of a pairwise alignment algorithm, usually guided by a tree that determines the order in which the sequences are combined",0
A greedy graphbased algorithm for the.txt,"The proposed alignment algorithm is part of the iterative automatic detection of homologous regions (i-ADHoRe) software (), a map-based method to detect homologous genomic segments within or between the genomes of related organisms",1
A greedy graphbased algorithm for the.txt,"First, the basic graphbased alignment algorithm will be explained, followed by the development of a heuristic to resolve consistency problems in this graph, so-called conflicts",0
A greedy graphbased algorithm for the.txt,"The new GG2aligner has been implemented in the latest 3.0 version of i-ADHoRe and its C++ source code can be downloaded for academic purposes (http://bioinformatics.psb.ugent.be/software).",1
A greedy graphbased algorithm for the.txt,The algorithm has been implemented in the latest version of i-ADHore 3.0.,1
A Gridenabled web portal for NMR.txt,"Results: We describe a web interface to set up and run calculations with the AMBER package, which we called AMPS-NMR (AMBER-based Portal Server for NMR structures)",1
A Gridenabled web portal for NMR.txt,"Availability and Implementation: AMPS-NMR is embedded within the NMR services of the WeNMR project and is available at http://py-enmr.cerm.unifi.it/access/index/amps-nmr; its use requires registration with a digital certificate.",1
A haplotypebased framework for groupwise transmissiondisequilibrium.txt,"Availability and implementation: We implemented gTDT in Cþþ and the source code and the detailed usage are available on the authors website (https://medschool.",1
A haplotypebased framework for groupwise transmissiondisequilibrium.txt,"Given that causal rare variants may act in complex mechanisms at different loci for different diseases, it is critical to develop methods that can encompass flexible models in a unified framework, and to provide tools that enable the community to carry out such analyses",0
A haplotypebased framework for groupwise transmissiondisequilibrium.txt,"In this study, we describe a general framework for group-wise TDT (gTDT) for rare variants and implement a few classical genetic models in a user-friendly and computationally efficient tool",1
A hidden Ising model for ChIPchip.txt,"To overcome this limitation and to develop an efficient software, we propose a hidden ferromagnetic Ising model for ChIP-chip data analysis",1
A hidden Ising model for ChIPchip.txt,"Availability: A software called iChip is freely available at",1
A hidden Ising model for ChIPchip.txt,"The major limitation of these algorithms, as pointed out by, is that the BaumWelch algorithm tends to converge to a local maximum of the likelihood function and the Viterbi training algorithm even fails to converge to a local maximum of the likelihood in some cases",1
A hidden Markov model to identify.txt,"As the computational and memory costs of our implementation of the BaumWelch algorithm (in particular, the gamma values) grow according to O(nb 2 ), where n  number of bins and b  number of states, this would become prohibitive with increasing numbers of states",1
A hidden Markov random fieldbased Bayesian.txt,"Availability and implementation: The Source codes can be downloaded at:",1
A hidden Markov random fieldbased Bayesian.txt,"Our JAVA implementation takes $13 minutes for a typical domain with 200 fragments and with parallel computing, genome-wide analysis can be easily accomplished within a few hours",1
A hidden Markov random fieldbased Bayesian.txt,"In contrast, Fit-Hi-C and our R implementation of AFC take $4 seconds and $12 minutes, respectively",1
A hidden Markov support vector machine.txt,"Availability and implementation: Detail implementation steps of the algorithm and the complete result of the transcriptome analysis for a microbial genome Porphyromonas gingivalis W83 can be viewed at",1
A hierarchical Bayesian model for flexible.txt,"Availability and implementation: R code and data are available at http://doc.aporc.org/wiki/CNetQ",1
A highly accurate statistical approach for.txt,"Availability: The MS Windows-compatible application is available for download at http://www.cbcb.umd.edu/software/jellyfish.",1
A highperformance computing toolset for relatedness.txt,The kernels of our algorithms are written in C/Cþþ and highly optimized,1
A highperformance computing toolset for relatedness.txt,"Availability and implementation: gdsfmt and SNPRelate are available from R CRAN (http://cran.r-project.org), including a vignette",1
A highperformance computing toolset for relatedness.txt,"sourceforge.net/) that includes two R packages: gdsfmt to provide efficient, platform-independent memory and file management for genome-wide numerical data, and SNPRelate to solve large-scale, numerically intensive GWAS calculations (i.e",0
A highperformance computing toolset for relatedness.txt,"Both R packages are written in C/C, use the POSIX threads library for shared memory parallel computing on Unix-like systems and have an R interface in which the kernel has been highly optimized by blocking the computations to exploit the high-speed cache memory",1
A highperformance computing toolset for relatedness.txt,GDS is also used by an R/Bioconductor package GWASTools as one of its data storage formats (),1
A highthroughput framework to detect synapses.txt,We detected thousands of synapses in these images and demonstrate the accuracy of our approach using cross-validation with manually labeled data and by comparing against existing algorithms and against tools that process standard electron mi-croscopy images,0
A hybrid approach to extract proteinprotein.txt,"Availability: The source code and scripts used in this article are available for academic use at",1
A Java API for working with.txt,"It is not intended as an end user tool but to provide a platform for further automation and tools development.",0
A Java API for working with.txt,"This can be of great benefit to researchers and software developers as relational databases are a widespread, familiar technology and can open up the dataset to many other tools and technologies than can interact via web browser or web-based protocols with inherent latency and statelessness",1
A Java API for working with.txt,"In summary, this is a toolkit for software developers to work with PubChem Bioassay datasets in a consistent manner.",1
A kmer scheme to predict piRNAs.txt,"Availability: The web server for implementing the algorithm and the software code are freely available to the academic community at",1
A knowledgebased approach for predicting genedisease.txt,"Availability and Implementation: Predictions for genes associated with the 960 diseases are available at",1
A knowledgebased orientation potential for transcription.txt,"Availability and implementation: The new potential is available at",1
A knowledgebased orientation potential for transcription.txt,"As the major goal of this study is to develop a proteinDNA interaction potential for assessing TFDNA binding affinity in TFDNA docking, non-TF proteinDNA complexes including restriction enzymes and non-specific DNA-binding proteins are not included in the dataset for potential development",1
A Lasso regression model for the.txt,"Availability: The R program for predicting miRNA–mRNA targeting relationships using the Lasso regression model is freely available, along with the described datasets and resulting regulatory network, at http://biocompute.bmi.ac.cn/CZlab/alarmnet/",1
A linear programming model for protein.txt,"Availability: The source code of our algorithm is available at: https:// sourceforge.net/projects/prolp/.",1
A lowpolynomial algorithm for assembling clusters.txt,"In two real-world datasets of genomes from bacteriophages (POGs) and Mollicutes (MOGs), an implementation of the EdgeSearch algorithm runs about an order of magnitude faster than the original algorithm and scales much better with increasing number of genomes, with only minor differences in the final results, and up to 60 times faster than the popular OrthoMCL program with a 90% overlap between the identified groups of orthologs",1
A lowpolynomial algorithm for assembling clusters.txt,"Availability and implementation: C++ source code freely available",1
A MATLAB toolbox for structural kinetic.txt,"Availability: The source code is freely available for download at http://sydney.edu.au/science/biology/meep/softwarel.",1
A MATLAB toolbox for structural kinetic.txt,"In doing so, the SKM algorithm derives a 'parameterized' version of the system's Jacobian matrix, in which model parameters encode the partial derivatives of the reaction rates around the steady state ()",1
A MATLABbased tool for accurate detection.txt,Development of bioinformatics tools that are capable of accurately detecting perfect IRs can enable genome-wide studies of IR patterns in both prokaryotes and eukaryotes,0
A MATLABbased tool for accurate detection.txt,"Availability and implementation: The source code is freely available on",1
A MATLABbased tool for accurate detection.txt,"To make genome-wide studies of palindromic sequences feasible, we need to develop efficient and accurate tools for detecting both perfect and quasi-palindromic sequences (palindromes contain mismatches and/or non-palindromic spacers)",0
A MATLABbased tool for accurate detection.txt,"Here we describe a novel algorithm for a tool detecting perfect IRs, implemented as a MATLAB function, capable of running on genome-scale inputs",0
A MATLABbased tool for accurate detection.txt,"CONCLUSIONDifferent from conventional string-comparison approaches adopted in the existing tools, our MATLAB program uses a novel prime number-based algorithm and can accurately detect nested and overlapping IRs of lengths ranging from 4 to 1000 nt",1
A method for de novo nucleic.txt,Availability and implementation: The UCRs identified for the 15 bacterial species are now freely available at http://ucr.synblex.com,1
A method for de novo nucleic.txt,"The source code of the programs used in this study is accessible at http://ucr.synblex.com/ bacterialIdSourceCode.d.zip, while an automated pipeline for diagnostic target and primer selection is under development",1
A method for finding consensus breakpoints.txt,"Availability: Implementation in R of our approach can be found at",1
A method for identifying haplotypes carrying.txt,"Availability: A java program, implementing the methods described in HapFinder, together with R scripts and datasets for producing the figures presented in this article are publicly available at http://www.ics.uci.edu/",1
A method for identifying haplotypes carrying.txt,"We thus introduce HapFinder, a novel methodological development specifically designed to find haplotypes within a population setting, which complements statistical tools for detecting positive natural selection and facilitates progress in medical genetics by locating the likely haplotype structure that the functional allele will sit on",1
A method for identifying haplotypes carrying.txt,This method has been implemented in a Java program which is packaged together with scripts for producing graphical displays in R and is freely available from http://www.nuscme.org.sg/sgvp/software/hapfinder.html,1
A method for probing the mutational.txt,"Availability: Our tool is publically available on the web at",1
A method of finding optimal weight.txt,"Availability: The results and R package are available at",1
A method of finding optimal weight.txt,All the statistical analysis and simulations were performed using the R statistical software version 2.13.1 (R Development Core Team)with the National Institute of Standards and Technology (NIST) mass spectral library,1
A mincut algorithm for the consistency.txt,"An optimal alignment in this approach is, therefore, a chain of fragments with maximum total weight and can be found by dynamic programming, either using standard fragment-chaining algorithms (), or by a more space-efficient algorithm that is implemented in DIALIGN ()",1
A model for the expression of.txt,"Availability and implementation: Implementation of solver algorithms and the software are freely available from: https://github.com/wswgG/solver-for-the-Jeffreys-type-equations-system Contact:",1
